Data Type:                         ULM Mobile Sounding Data/Ascending
Project ID:                        VORTEX-SE_2017
Release Site Type/Site ID:         Hollywood, AL
Release Location (lon,lat,alt):    085 57.40'W, 34 43.01'N, -85.957, 34.717, 189.0
UTC Release Time (y,m,d,h,m,s):    2017, 04, 30, 17:54:00
Radiosonde Type:                   iMet-1-ABxn
Ground Station Software:           iMetOS-II software version 03.90.0C.
/
/
/
/
Nominal Release Time (y,m,d,h,m,s):2017, 04, 30, 17:54:00
 Time  Press  Temp  Dewpt  RH    Ucmp   Vcmp   spd   dir   Wcmp     Lon     Lat   Ele   MixR   Alt    Qp   Qt   Qrh  Qu   Qv   QdZ
  sec    mb     C     C     %     m/s    m/s   m/s   deg   m/s      deg     deg   deg   g/kg    m    code code code code code code
------ ------ ----- ----- ----- ------ ------ ----- ----- ----- -------- ------- ----- ----- ------- ---- ---- ---- ---- ---- ----
   0.0 9999.0 999.0 999.0 999.0 9999.0 9999.0 999.0 999.0 999.0  -85.957  34.717 999.0 999.0   189.0  9.0  9.0  9.0  9.0  9.0  9.0
  56.0  991.5  26.2  16.4  53.9    0.2   13.0  13.0 181.0   0.4  -85.957  34.717 999.0 999.0   213.5  2.0  2.0  2.0  1.0  1.0 99.0
  61.0  988.9  25.7  16.1  54.4    0.0   13.1  13.1 180.0   4.6  -85.957  34.717 999.0 999.0   236.5  2.0  2.0  2.0  1.0  1.0 99.0
  66.0  986.0  25.4  15.6  53.8    0.5   13.3  13.3 182.0   5.2  -85.957  34.718 999.0 999.0   262.2  2.0  2.0  2.0  1.0  1.0 99.0
  71.0  983.2  24.9  15.4  55.0    0.2   13.5  13.5 181.0   5.1  -85.957  34.718 999.0 999.0   287.7  2.0  2.0  2.0  1.0  1.0 99.0
  76.0  980.4  24.5  15.5  56.3    0.2   13.4  13.4 181.0   5.0  -85.957  34.719 999.0 999.0   312.5  2.0  2.0  2.0  1.0  1.0 99.0
  81.0  977.5  24.3  15.5  57.3    0.2   13.5  13.5 181.0   5.1  -85.957  34.720 999.0 999.0   337.9  1.0  1.0  1.0  1.0  1.0 99.0
  86.0  974.7  24.2  15.6  58.0    0.0   14.5  14.5 180.0   5.0  -85.957  34.721 999.0 999.0   362.8  1.0  1.0  1.0  1.0  1.0 99.0
  91.0  971.9  24.0  15.6  58.6    0.0   15.0  15.0 180.0   5.0  -85.957  34.721 999.0 999.0   387.6  1.0  1.0  1.0  1.0  1.0 99.0
  96.0  969.2  23.8  15.6  59.5   -0.3   14.9  14.9 179.0   4.9  -85.956  34.722 999.0 999.0   412.4  1.0  1.0  1.0  1.0  1.0 99.0
 101.0  966.5  23.6  15.4  59.5    0.0   15.0  15.0 180.0   4.9  -85.957  34.723 999.0 999.0   436.9  1.0  1.0  1.0  1.0  1.0 99.0
 106.0  963.7  23.3  15.3  60.2    0.0   15.1  15.1 180.0   4.9  -85.957  34.723 999.0 999.0   461.5  1.0  1.0  1.0  1.0  1.0 99.0
 111.0  961.0  23.1  15.4  61.3    0.0   15.1  15.1 180.0   5.0  -85.957  34.724 999.0 999.0   486.4  2.0  2.0  2.0  1.0  1.0 99.0
 116.0  958.1  22.7  15.2  62.0   -0.3   15.0  15.0 179.0   5.1  -85.957  34.725 999.0 999.0   512.1  2.0  2.0  2.0  1.0  1.0 99.0
 121.0  955.2  22.6  15.3  62.7    0.0   15.2  15.2 180.0   5.3  -85.957  34.725 999.0 999.0   538.4  1.0  1.0  1.0  1.0  1.0 99.0
 126.0  952.2  22.3  15.2  63.4   -0.5   15.7  15.7 178.0   5.4  -85.957  34.726 999.0 999.0   565.6  1.0  1.0  1.0  1.0  1.0 99.0
 131.0  949.2  21.9  14.9  63.5   -0.3   15.6  15.6 179.0   5.5  -85.957  34.727 999.0 999.0   593.1  1.0  1.0  1.0  1.0  1.0 99.0
 136.0  946.2  21.8  14.9  64.3   -0.3   15.9  15.9 179.0   5.5  -85.957  34.727 999.0 999.0   620.4  1.0  1.0  1.0  1.0  1.0 99.0
 141.0  943.2  21.5  14.8  65.1   -0.3   15.8  15.8 179.0   5.4  -85.957  34.728 999.0 999.0   647.5  1.0  1.0  1.0  1.0  1.0 99.0
 146.0  940.2  21.3  14.6  65.1   -0.6   15.8  15.8 178.0   5.5  -85.957  34.729 999.0 999.0   675.1  1.0  1.0  1.0  1.0  1.0 99.0
 151.0  937.1  21.1  14.6  65.9   -0.6   15.9  15.9 178.0   5.7  -85.957  34.729 999.0 999.0   703.7  1.0  1.0  1.0  1.0  1.0 99.0
 156.0  933.9  20.8  14.4  66.3   -0.3   15.7  15.7 179.0   5.9  -85.957  34.730 999.0 999.0   733.4  1.0  1.0  1.0  1.0  1.0 99.0
 161.0  930.6  20.5  14.5  67.6   -0.5   15.4  15.4 178.0   6.1  -85.957  34.731 999.0 999.0   763.8  1.0  1.0  1.0  1.0  1.0 99.0
 166.0  927.2  20.2  14.4  68.9   -0.5   15.4  15.4 178.0   6.2  -85.957  34.732 999.0 999.0   794.9  1.0  1.0  1.0  1.0  1.0 99.0
 171.0  923.8  19.8  14.1  69.4   -0.8   15.2  15.2 177.0   6.3  -85.957  34.732 999.0 999.0   826.5  1.0  1.0  1.0  1.0  1.0 99.0
 176.0  920.4  19.4  14.0  70.2   -0.5   15.3  15.3 178.0   6.4  -85.957  34.733 999.0 999.0   858.4  1.0  1.0  1.0  1.0  1.0 99.0
 181.0  916.9  19.1  13.9  71.3   -0.5   15.5  15.5 178.0   6.4  -85.957  34.734 999.0 999.0   890.6  1.0  1.0  1.0  1.0  1.0 99.0
 186.0  913.5  18.9  13.9  72.3   -0.5   15.1  15.1 178.0   6.4  -85.957  34.734 999.0 999.0   922.8  1.0  1.0  1.0  1.0  1.0 99.0
 191.0  910.2  18.6  13.8  73.1   -0.8   15.2  15.2 177.0   6.1  -85.957  34.735 999.0 999.0   953.3  1.0  1.0  1.0  1.0  1.0 99.0
 196.0  907.1  18.4  13.7  74.0   -0.8   15.6  15.6 177.0   5.7  -85.957  34.736 999.0 999.0   982.0  1.0  1.0  1.0  1.0  1.0 99.0
 201.0  904.4  18.1  13.7  75.2   -0.3   15.9  15.9 179.0   5.3  -85.957  34.736 999.0 999.0  1008.2  1.0  1.0  1.0  1.0  1.0 99.0
 206.0  901.8  17.8  13.7  76.1   -0.3   16.0  16.0 179.0   4.8  -85.957  34.737 999.0 999.0  1032.4  1.0  1.0  1.0  1.0  1.0 99.0
 211.0  899.4  17.7  13.8  77.7   -0.3   15.9  15.9 179.0   4.6  -85.957  34.738 999.0 999.0  1055.3  1.0  1.0  1.0  1.0  1.0 99.0
 216.0  897.0  17.5  13.6  77.7   -0.3   16.5  16.5 179.0   4.4  -85.957  34.738 999.0 999.0  1077.4  1.0  1.0  1.0  1.0  1.0 99.0
 221.0  894.8  17.4  13.6  77.8    0.0   16.4  16.4 180.0   4.3  -85.957  34.739 999.0 999.0  1099.2  1.0  1.0  1.0  1.0  1.0 99.0
 226.0  892.6  17.3  13.6  78.2    0.0   16.4  16.4 180.0   4.0  -85.957  34.740 999.0 999.0  1119.3  1.0  1.0  1.0  1.0  1.0 99.0
 231.0  890.6  17.1  13.4  78.3    0.6   16.6  16.6 182.0   3.8  -85.957  34.741 999.0 999.0  1138.2  1.0  1.0  1.0  1.0  1.0 99.0
 236.0  888.7  16.9  13.2  78.9    0.6   16.6  16.6 182.0   3.7  -85.957  34.742 999.0 999.0  1156.6  2.0  2.0  2.0  1.0  1.0 99.0
 241.0  886.8  16.6  13.2  79.6    0.6   16.3  16.3 182.0   3.7  -85.957  34.742 999.0 999.0  1175.3  2.0  2.0  2.0  1.0  1.0 99.0
 246.0  884.7  16.5  13.4  81.9    0.9   16.5  16.5 183.0   3.9  -85.957  34.743 999.0 999.0  1194.7  1.0  1.0  1.0  1.0  1.0 99.0
 251.0  882.7  16.3  13.3  81.9    0.9   16.6  16.6 183.0   3.9  -85.957  34.744 999.0 999.0  1214.4  1.0  1.0  1.0  1.0  1.0 99.0
 256.0  880.6  16.2  13.5  84.0    0.6   16.5  16.5 182.0   4.0  -85.957  34.744 999.0 999.0  1234.3  1.0  1.0  1.0  1.0  1.0 99.0
 261.0  878.6  16.0  13.4  84.4    0.3   16.4  16.4 181.0   3.8  -85.957  34.745 999.0 999.0  1253.3  1.0  1.0  1.0  1.0  1.0 99.0
 266.0  876.6  15.8  13.2  84.7    0.6   16.4  16.4 182.0   3.9  -85.957  34.746 999.0 999.0  1273.0  1.0  1.0  1.0  1.0  1.0 99.0
 271.0  874.5  15.5  13.1  85.2    0.6   16.7  16.7 182.0   4.1  -85.957  34.747 999.0 999.0  1293.3  1.0  1.0  1.0  1.0  1.0 99.0
